"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"301",188,"20200122 P1",0.363,-0.356499999999999,"PTx",0
"302",188,"20200122 P1",0.363,-0.356499999999999,"YM",0
"303",188,"20200122 P1",0.363,-0.356499999999999,"ymptx",0
"305",192,"20200122 P1",-0.16,0.0550999999999995,"DMSO",0
"306",192,"20200122 P1",-0.16,0.0550999999999995,"PTx",0
"307",192,"20200122 P1",-0.16,0.0550999999999995,"YM",0
"308",192,"20200122 P1",-0.16,0.0550999999999995,"ymptx",0
"309",193,"20200122 P1",0.3492,0.0898999999999999,"DMSO",0
"310",193,"20200122 P1",0.3492,0.0898999999999999,"PTx",0
"311",193,"20200122 P1",0.3492,0.0898999999999999,"YM",0
"312",193,"20200122 P1",0.3492,0.0898999999999999,"ymptx",0
"313",194,"20200122 P1",-0.0692999999999999,0.4347,"DMSO",0
"314",194,"20200122 P1",-0.0692999999999999,0.4347,"PTx",0
"315",194,"20200122 P1",-0.0692999999999999,0.4347,"YM",0
"316",194,"20200122 P1",-0.0692999999999999,0.4347,"ymptx",0
"317",197,"20200122 P1",-0.2646,-0.0253000000000005,"DMSO",0
"318",197,"20200122 P1",-0.2646,-0.0253000000000005,"PTx",0
"319",197,"20200122 P1",-0.2646,-0.0253000000000005,"YM",0
"320",197,"20200122 P1",-0.2646,-0.0253000000000005,"ymptx",0
"321",198,"20200122 P1",-0.132,0.4039,"DMSO",0
"322",198,"20200122 P1",-0.132,0.4039,"PTx",0
"323",198,"20200122 P1",-0.132,0.4039,"YM",0
"324",198,"20200122 P1",-0.132,0.4039,"ymptx",0
"326",203,"20200122 P1",0.0275999999999995,-0.437500000000001,"DMSO",0
"327",203,"20200122 P1",0.0275999999999995,-0.437500000000001,"PTx",0
"328",203,"20200122 P1",0.0275999999999995,-0.437500000000001,"YM",0
"329",203,"20200122 P1",0.0275999999999995,-0.437500000000001,"ymptx",0
"331",206,"20200122 P1",0.00930000000000003,-0.2475,"DMSO",0
"332",206,"20200122 P1",0.00930000000000003,-0.2475,"PTx",0
"333",206,"20200122 P1",0.00930000000000003,-0.2475,"YM",0
"334",206,"20200122 P1",0.00930000000000003,-0.2475,"ymptx",0
"336",212,"20200122 P1",0.4798,0.7758,"DMSO",0
"337",212,"20200122 P1",0.4798,0.7758,"PTx",0
"338",212,"20200122 P1",0.4798,0.7758,"YM",0
"339",212,"20200122 P1",0.4798,0.7758,"ymptx",0
"340",213,"20200122 P1",0.1638,0.1672,"DMSO",0
"341",213,"20200122 P1",0.1638,0.1672,"PTx",0
"342",213,"20200122 P1",0.1638,0.1672,"YM",0
"343",213,"20200122 P1",0.1638,0.1672,"ymptx",0
