"","Time_in_min","Inhibitor","CN_ERK","Object","Slide"
"351",51.5,"DMSO",0.6908,116,"P1"
"352",55,"DMSO",0.8118,116,"P1"
"353",58.5,"DMSO",0.9629,116,"P1"
"354",62,"DMSO",0.9241,116,"P1"
"355",65.5,"DMSO",0.8046,116,"P1"
"356",69,"DMSO",0.7437,116,"P1"
"357",72.5,"DMSO",0.7787,116,"P1"
"358",76,"DMSO",0.7642,116,"P1"
"359",79.5,"DMSO",0.7404,116,"P1"
"360",83,"DMSO",0.7271,116,"P1"
"361",2.5,"DMSO",0.5172,120,"P1"
"362",6,"DMSO",0.5088,120,"P1"
"363",9.5,"DMSO",0.5468,120,"P1"
"364",13,"DMSO",0.555,120,"P1"
"365",16.5,"DMSO",0.5343,120,"P1"
"366",20,"DMSO",0.536,120,"P1"
"367",23.5,"DMSO",0.5834,120,"P1"
"368",27,"DMSO",0.6247,120,"P1"
"369",30.5,"DMSO",0.9207,120,"P1"
"370",34,"DMSO",0.9377,120,"P1"
"371",37.5,"DMSO",0.886,120,"P1"
"372",41,"DMSO",0.8194,120,"P1"
"373",44.5,"DMSO",0.8123,120,"P1"
"374",48,"DMSO",0.805,120,"P1"
"375",51.5,"DMSO",0.8471,120,"P1"
"376",55,"DMSO",0.9185,120,"P1"
"377",58.5,"DMSO",0.901,120,"P1"
"378",62,"DMSO",0.9734,120,"P1"
"379",65.5,"DMSO",0.9481,120,"P1"
"380",69,"DMSO",0.9202,120,"P1"
"381",72.5,"DMSO",0.8972,120,"P1"
"382",76,"DMSO",1.0064,120,"P1"
"383",79.5,"DMSO",0.9755,120,"P1"
"384",83,"DMSO",0.9074,120,"P1"
"385",2.5,"DMSO",0.7088,121,"P1"
"386",6,"DMSO",0.6882,121,"P1"
"387",9.5,"DMSO",0.6557,121,"P1"
"388",13,"DMSO",0.6234,121,"P1"
"389",16.5,"DMSO",0.6248,121,"P1"
"390",20,"DMSO",0.6356,121,"P1"
"391",23.5,"DMSO",0.6263,121,"P1"
"392",27,"DMSO",0.9486,121,"P1"
"393",30.5,"DMSO",1.2712,121,"P1"
"394",34,"DMSO",1.307,121,"P1"
"395",37.5,"DMSO",1.2587,121,"P1"
"396",41,"DMSO",1.1844,121,"P1"
"397",44.5,"DMSO",1.2322,121,"P1"
"398",48,"DMSO",1.2573,121,"P1"
"399",51.5,"DMSO",1.1981,121,"P1"
"400",55,"DMSO",1.1783,121,"P1"
"401",58.5,"DMSO",1.2274,121,"P1"
"402",62,"DMSO",1.2615,121,"P1"
"403",65.5,"DMSO",1.2501,121,"P1"
"404",69,"DMSO",1.2839,121,"P1"
"405",72.5,"DMSO",1.2642,121,"P1"
"406",76,"DMSO",1.083,121,"P1"
"407",79.5,"DMSO",1.0619,121,"P1"
"408",83,"DMSO",1.0853,121,"P1"
"409",2.5,"DMSO",0.4207,122,"P1"
"410",6,"DMSO",0.4247,122,"P1"
"411",9.5,"DMSO",0.4327,122,"P1"
"412",13,"DMSO",0.446,122,"P1"
"413",16.5,"DMSO",0.4711,122,"P1"
"414",20,"DMSO",0.4597,122,"P1"
"415",23.5,"DMSO",0.4239,122,"P1"
"416",27,"DMSO",0.8948,122,"P1"
"417",30.5,"DMSO",1.1959,122,"P1"
"418",34,"DMSO",1.1025,122,"P1"
"419",37.5,"DMSO",0.9712,122,"P1"
"420",41,"DMSO",0.8353,122,"P1"
"421",44.5,"DMSO",0.7365,122,"P1"
"422",48,"DMSO",0.743,122,"P1"
"423",51.5,"DMSO",0.8051,122,"P1"
"424",55,"DMSO",0.8985,122,"P1"
"425",58.5,"DMSO",0.9896,122,"P1"
"426",62,"DMSO",0.8978,122,"P1"
"427",65.5,"DMSO",0.8736,122,"P1"
"428",69,"DMSO",0.8739,122,"P1"
"429",72.5,"DMSO",0.8848,122,"P1"
"430",76,"DMSO",0.9498,122,"P1"
"431",79.5,"DMSO",0.9989,122,"P1"
"432",83,"DMSO",0.9025,122,"P1"
"433",2.5,"DMSO",0.6049,123,"P1"
"434",6,"DMSO",0.6179,123,"P1"
"435",9.5,"DMSO",0.6071,123,"P1"
"436",13,"DMSO",0.6103,123,"P1"
"437",16.5,"DMSO",0.6023,123,"P1"
"438",20,"DMSO",0.6297,123,"P1"
"439",23.5,"DMSO",0.6019,123,"P1"
"440",27,"DMSO",0.9257,123,"P1"
"441",30.5,"DMSO",1.0163,123,"P1"
"442",34,"DMSO",0.9958,123,"P1"
"443",37.5,"DMSO",0.9339,123,"P1"
"444",41,"DMSO",0.8684,123,"P1"
"445",44.5,"DMSO",0.9122,123,"P1"
"446",48,"DMSO",0.9571,123,"P1"
"447",51.5,"DMSO",0.9165,123,"P1"
"448",55,"DMSO",0.8793,123,"P1"
"449",58.5,"DMSO",0.8629,123,"P1"
"450",62,"DMSO",0.8878,123,"P1"
"451",65.5,"DMSO",0.8882,123,"P1"
"452",69,"DMSO",0.8345,123,"P1"
"453",72.5,"DMSO",0.845,123,"P1"
"454",76,"DMSO",0.8423,123,"P1"
"455",79.5,"DMSO",0.8247,123,"P1"
"456",83,"DMSO",0.8203,123,"P1"
"457",2.5,"DMSO",0.5198,124,"P1"
"458",6,"DMSO",0.518,124,"P1"
"459",9.5,"DMSO",0.5523,124,"P1"
"460",13,"DMSO",0.5623,124,"P1"
"461",16.5,"DMSO",0.5606,124,"P1"
"462",20,"DMSO",0.5428,124,"P1"
"463",23.5,"DMSO",0.5593,124,"P1"
"464",27,"DMSO",0.5993,124,"P1"
"465",30.5,"DMSO",0.8823,124,"P1"
"466",34,"DMSO",0.9687,124,"P1"
"467",37.5,"DMSO",1.0023,124,"P1"
"468",41,"DMSO",0.8751,124,"P1"
"469",44.5,"DMSO",0.8405,124,"P1"
"470",48,"DMSO",0.9167,124,"P1"
"471",51.5,"DMSO",1.0187,124,"P1"
"472",55,"DMSO",1.0065,124,"P1"
"473",58.5,"DMSO",0.9999,124,"P1"
"474",62,"DMSO",0.9671,124,"P1"
"475",65.5,"DMSO",1.052,124,"P1"
"476",69,"DMSO",1.0299,124,"P1"
"477",72.5,"DMSO",1.0391,124,"P1"
"478",76,"DMSO",1.0948,124,"P1"
"479",79.5,"DMSO",1.0423,124,"P1"
"480",83,"DMSO",1.025,124,"P1"
"481",2.5,"DMSO",0.2724,125,"P1"
"482",6,"DMSO",0.2644,125,"P1"
"483",9.5,"DMSO",0.2836,125,"P1"
"484",13,"DMSO",0.2803,125,"P1"
"485",16.5,"DMSO",0.2864,125,"P1"
"486",20,"DMSO",0.2877,125,"P1"
"487",23.5,"DMSO",0.3403,125,"P1"
"488",27,"DMSO",0.4621,125,"P1"
"489",30.5,"DMSO",1.0768,125,"P1"
"490",34,"DMSO",1.1979,125,"P1"
"491",37.5,"DMSO",1.1578,125,"P1"
"492",41,"DMSO",0.9726,125,"P1"
"493",44.5,"DMSO",0.7615,125,"P1"
"494",48,"DMSO",0.6438,125,"P1"
"495",51.5,"DMSO",0.6345,125,"P1"
"496",55,"DMSO",0.6558,125,"P1"
"497",58.5,"DMSO",0.7649,125,"P1"
"498",62,"DMSO",0.8503,125,"P1"
"499",65.5,"DMSO",0.8097,125,"P1"
"500",69,"DMSO",0.7094,125,"P1"
"501",72.5,"DMSO",0.63,125,"P1"
"502",76,"DMSO",0.6281,125,"P1"
"503",79.5,"DMSO",0.6209,125,"P1"
"504",83,"DMSO",0.5653,125,"P1"
"505",2.5,"DMSO",0.7976,127,"P1"
"506",6,"DMSO",0.8059,127,"P1"
"507",9.5,"DMSO",0.7541,127,"P1"
"508",13,"DMSO",0.7292,127,"P1"
"509",16.5,"DMSO",0.7713,127,"P1"
"510",20,"DMSO",0.7545,127,"P1"
"511",23.5,"DMSO",0.6996,127,"P1"
"512",27,"DMSO",0.8919,127,"P1"
"513",30.5,"DMSO",1.2824,127,"P1"
"514",34,"DMSO",1.3995,127,"P1"
"515",37.5,"DMSO",1.3862,127,"P1"
"516",41,"DMSO",1.2935,127,"P1"
"517",44.5,"DMSO",1.1832,127,"P1"
"518",48,"DMSO",1.1978,127,"P1"
"519",51.5,"DMSO",1.1443,127,"P1"
"520",55,"DMSO",1.1956,127,"P1"
"521",58.5,"DMSO",1.2756,127,"P1"
"522",62,"DMSO",1.244,127,"P1"
"523",65.5,"DMSO",1.344,127,"P1"
"524",69,"DMSO",1.3957,127,"P1"
"525",72.5,"DMSO",1.3522,127,"P1"
"526",76,"DMSO",1.3076,127,"P1"
"527",79.5,"DMSO",1.2549,127,"P1"
"528",83,"DMSO",1.2645,127,"P1"
"529",2.5,"DMSO",0.5543,13,"P1"
"530",6,"DMSO",0.5154,13,"P1"
"531",9.5,"DMSO",0.5163,13,"P1"
"532",13,"DMSO",0.4889,13,"P1"
"533",16.5,"DMSO",0.5097,13,"P1"
"534",20,"DMSO",0.4958,13,"P1"
"535",23.5,"DMSO",0.5122,13,"P1"
"536",27,"DMSO",0.9533,13,"P1"
"537",30.5,"DMSO",1.2157,13,"P1"
"538",34,"DMSO",1.2442,13,"P1"
"539",37.5,"DMSO",1.0845,13,"P1"
"540",41,"DMSO",0.8808,13,"P1"
"541",44.5,"DMSO",0.7692,13,"P1"
"542",48,"DMSO",0.7944,13,"P1"
"543",51.5,"DMSO",0.8341,13,"P1"
"544",55,"DMSO",0.832,13,"P1"
"545",58.5,"DMSO",0.8301,13,"P1"
"546",62,"DMSO",0.8672,13,"P1"
"547",65.5,"DMSO",0.9539,13,"P1"
"548",69,"DMSO",1.0124,13,"P1"
"549",72.5,"DMSO",1.089,13,"P1"
"550",76,"DMSO",1.0786,13,"P1"
"551",79.5,"DMSO",1.0565,13,"P1"
"552",83,"DMSO",0.9723,13,"P1"
"553",2.5,"DMSO",0.2401,131,"P1"
"554",6,"DMSO",0.2532,131,"P1"
"555",9.5,"DMSO",0.2437,131,"P1"
"556",13,"DMSO",0.2552,131,"P1"
"557",16.5,"DMSO",0.2523,131,"P1"
"558",20,"DMSO",0.2533,131,"P1"
"559",23.5,"DMSO",0.2897,131,"P1"
"560",27,"DMSO",0.3881,131,"P1"
"561",30.5,"DMSO",0.9169,131,"P1"
"562",34,"DMSO",1.2171,131,"P1"
"563",37.5,"DMSO",1.3835,131,"P1"
"564",41,"DMSO",1.2508,131,"P1"
"565",44.5,"DMSO",1.0207,131,"P1"
"566",48,"DMSO",0.8838,131,"P1"
"567",51.5,"DMSO",0.8309,131,"P1"
"568",55,"DMSO",0.7397,131,"P1"
"569",58.5,"DMSO",0.7138,131,"P1"
"570",62,"DMSO",0.706,131,"P1"
"571",65.5,"DMSO",0.7477,131,"P1"
"572",69,"DMSO",0.7584,131,"P1"
"573",72.5,"DMSO",0.7429,131,"P1"
"574",76,"DMSO",0.702,131,"P1"
"575",79.5,"DMSO",0.6756,131,"P1"
"576",83,"DMSO",0.6497,131,"P1"
"577",2.5,"DMSO",0.3557,135,"P1"
"578",6,"DMSO",0.3545,135,"P1"
"579",9.5,"DMSO",0.3704,135,"P1"
"580",13,"DMSO",0.3772,135,"P1"
