"Condition","Treatment","Time","object","activity"
"Cdc42","S1P",2.333333,"Cell 24",NA
"Cdc42","S1P",2.333333,"Cell 25",NA
"Cdc42","S1P",2.333333,"Cell 26",NA
"Cdc42","S1P",2.333333,"Cell 27",NA
"Cdc42","S1P",2.333333,"Cell 28",NA
"Cdc42","S1P",2.333333,"Cell 29",NA
"Cdc42","S1P",2.333333,"Cell 30",NA
"Cdc42","S1P",2.333333,"Cell 31",NA
"Cdc42","S1P",2.333333,"Cell 32",NA
"Cdc42","S1P",2.5,"Cell 01",1.154203
"Cdc42","S1P",2.5,"Cell 02",1.127899
"Cdc42","S1P",2.5,"Cell 03",1.158042
"Cdc42","S1P",2.5,"Cell 04",1.18563
"Cdc42","S1P",2.5,"Cell 05",1.030048
"Cdc42","S1P",2.5,"Cell 06",1.161533
"Cdc42","S1P",2.5,"Cell 07",1.149471
"Cdc42","S1P",2.5,"Cell 08",1.102548
"Cdc42","S1P",2.5,"Cell 09",1.075843
"Cdc42","S1P",2.5,"Cell 10",1.102509
"Cdc42","S1P",2.5,"Cell 11",1.049942
"Cdc42","S1P",2.5,"Cell 12",1.066595
"Cdc42","S1P",2.5,"Cell 13",1.14192
"Cdc42","S1P",2.5,"Cell 14",1.142235
"Cdc42","S1P",2.5,"Cell 15",1.118407
"Cdc42","S1P",2.5,"Cell 16",1.01384
"Cdc42","S1P",2.5,"Cell 17",1.022438
"Cdc42","S1P",2.5,"Cell 18",1.064194
"Cdc42","S1P",2.5,"Cell 19",1.057865
"Cdc42","S1P",2.5,"Cell 20",NA
"Cdc42","S1P",2.5,"Cell 21",NA
"Cdc42","S1P",2.5,"Cell 22",NA
"Cdc42","S1P",2.5,"Cell 23",NA
"Cdc42","S1P",2.5,"Cell 24",NA
"Cdc42","S1P",2.5,"Cell 25",NA
"Cdc42","S1P",2.5,"Cell 26",NA
"Cdc42","S1P",2.5,"Cell 27",NA
"Cdc42","S1P",2.5,"Cell 28",NA
"Cdc42","S1P",2.5,"Cell 29",NA
"Cdc42","S1P",2.5,"Cell 30",NA
"Cdc42","S1P",2.5,"Cell 31",NA
"Cdc42","S1P",2.5,"Cell 32",NA
"Cdc42","S1P",2.666667,"Cell 01",1.191653
"Cdc42","S1P",2.666667,"Cell 02",1.167981
"Cdc42","S1P",2.666667,"Cell 03",1.133008
"Cdc42","S1P",2.666667,"Cell 04",1.170894
"Cdc42","S1P",2.666667,"Cell 05",1.019376
"Cdc42","S1P",2.666667,"Cell 06",1.147546
