"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",5.166667,1.256551,1.208961,1.044764,1.066366,1.043226,1.012315,1.002587,1.109008,1.061525,1.084382,1.056158,0.992967,1.023772,1.110384,1.110892,1.061532,1.066901,1.00783,1.041307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",5.333334,1.241427,1.186305,1.052716,1.074873,1.044446,1.018515,1.011931,1.106619,1.060159,1.082803,1.057298,0.9942074,1.02352,1.099404,1.095434,1.055355,1.058423,1.001436,1.03462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",5.5,1.241923,1.182182,1.052357,1.07922,1.046257,1.007479,0.999348,1.09298,1.045915,1.076195,1.048874,0.9940481,1.025277,1.078354,1.074875,1.070885,1.071373,1.010578,1.046683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",5.666667,1.229193,1.172931,1.039305,1.08226,1.049418,1.001307,0.995791,1.092384,1.048765,1.077363,1.053233,0.9942018,1.026161,1.067077,1.067711,1.067197,1.065473,1.010921,1.046689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",5.833334,1.207258,1.148399,1.023427,1.068731,1.046781,0.9931346,0.9904429,1.080171,1.03513,1.071498,1.047039,0.9932926,1.018325,1.04906,1.048886,1.068789,1.06585,1.006282,1.039429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6,1.197422,1.132802,1.04082,1.07995,1.040351,0.9947036,0.9914044,1.086568,1.041812,1.069439,1.050427,0.9901616,1.009138,1.040469,1.042291,1.072398,1.068368,1.008057,1.042772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6.166667,1.180837,1.120413,1.029448,1.072166,1.03736,0.9941696,0.9881342,1.068981,1.025692,1.06135,1.039274,0.9922932,1.014145,1.030615,1.039448,1.066535,1.068912,1.002777,1.041907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6.333334,1.169445,1.114883,1.019487,1.065051,1.035953,1.008306,1.001676,1.068281,1.02844,1.062128,1.040822,0.991212,1.008507,1.023351,1.034683,1.065855,1.075791,1.013046,1.048341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6.5,1.160868,1.108739,1.021847,1.066208,1.03729,0.9987996,0.9863641,1.066927,1.027852,1.056347,1.036135,0.9864355,1.004712,1.025423,1.036783,1.055787,1.056814,1.015615,1.050236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6.666667,1.142305,1.099636,1.012966,1.048126,1.038081,1.012234,0.9999998,1.064134,1.025255,1.054538,1.033476,0.9950754,1.020126,1.022075,1.036738,1.054265,1.057196,1.028042,1.056671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",6.833334,1.130332,1.089056,1.01342,1.051973,1.035516,1.002124,0.9921337,1.068472,1.032173,1.061464,1.033813,0.9853891,1.005935,1.023361,1.042633,1.058143,1.055754,1.018732,1.052938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",7,1.126156,1.08726,1.01012,1.051623,1.040919,0.9883848,0.9770142,1.066859,1.030873,1.055935,1.031896,0.9884154,1.0132,1.017306,1.03675,1.063335,1.055844,1.024119,1.06476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",7.166667,1.110123,1.075778,1.012652,1.047079,1.036327,1.01285,0.9995509,1.064337,1.024606,1.053119,1.026563,0.9875685,1.018229,1.023647,1.043608,1.06441,1.052961,1.016602,1.050412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",7.333334,1.106088,1.07121,1.010117,1.039315,1.029818,1.003776,0.9883764,1.061378,1.029782,1.056587,1.02998,0.9883872,1.022473,1.032639,1.04925,1.053747,1.045093,1.01577,1.047844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",7.5,1.102681,1.071347,0.9906253,1.026339,1.02904,0.9972451,0.984679,1.065305,1.030363,1.0606,1.034953,0.9846198,1.012251,1.029995,1.05258,1.044373,1.046213,1.015435,1.051734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",7.666667,1.100049,1.071351,1.005715,1.04146,1.03611,1.015904,0.9998151,1.050069,1.021064,1.046862,1.023669,0.9846974,1.011973,1.031534,1.056768,1.043538,1.054393,1.018445,1.050488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
