Tijdstempel,Groep,"Resultaten van de 10 metingen (in µm), van de celkleuring (methyleenblauw)","Resultaten van de 10 metingen (in µm), van de kernkleuring (DAPI)"
19/03/2021 11:07:00,C,"3.71,4.19,3.80,6.61,6.00,6.24,6.91,8.19,8.00,8.18","0.51,0.68,0.55,0.35,0.56,0.44,0.38,0.51,0.57,0.46"
19/03/2021 14:07:47,C,"85.24,77.19,47.73,43.78,74.37,74.66,99.96,74.17,69.37,81.58","8.57,11.80,11.85,8.98,10.37,8.76,9.73,10.83,8.93,8.24"
19/03/2021 14:18:00,D,"64.794, 104.732, 79.713, 60.233, 46.360, 69.360, 82.243, 74.230, 80.933, 60.381","10.926, 13.086, 11.195, 13.868, 8.571, 13.552, 13.250, 9.091, 9.412,12.836"
19/03/2021 17:36:16,C,"6.942,4.595,5.904,7.211,7.489,8.896,7.327,7.857,7.871,6.384","1.413,1.283,1.335,1.213,1.511,1.341,1.219,1.378,1.423,1.345"
19/03/2021 17:59:37,C,"58.088, 53.669, 58.945, 84.093, 65.349, 69.454, 65.31, 73.38, 75.345, 71.737","8.887, 11.531, 12.466, 11.188, 11.629, 12.094, 13.417, 10.971, 11.987, 10.842"
19/03/2021 19:48:21,D,"87.488,87.293,80.809,76.729,96.667,68.275,92.383,62.911,56.123,79.094,67.643","8.805,11.699,11.585,8.219,12.039,12.288,10.254,9.962,9.067,10.459"
22/03/2021 00:14:08,D,"59,01761468 77,10348624 70,1906422 79,80862385 79,13688073 65,75357798 80,17486239 60,25724771 49,59559633 45,50605505","12,27338214 13,18161054 10,92778917 8,878477306 12,84052709 11,04304539 9,70284041 12,06489019 12,87847731 12,86325037"
17/01/2022 12:25:54,A,"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
07/03/2022 14:03:46,A," 6.30,5.79,4.92,5.15,7.86,8.69,7.63,7.13,6.78,6.76","1.21,0.72,0.75,0.91,1.09,0.69,1.35,1.30,1.03,1.49"
07/03/2022 20:32:27,B,"62.4,65.8,59.3,51.9,51.9,59.7,72.8,71,63.7,58.9","78.1,84.6,68.2,71.5,60.1,60,8.72.4,37.9,57.7,89.7"
08/03/2022 23:09:31,A,"8.26,6.62,7.1,4.73,5.63,6.76,6.74,6.30,7.22,7.33,8.2,5.4","1.06,1.58,1.08,1.35,1.67,1.37,1.35,1.44,1.2,1.32"
09/03/2022 13:05:59,B,"65,70,80,85,50,80,80,85,75,80","10,10,11,9,10,10,11,10,9,10"
10/03/2022 12:07:58,A,"61.746, 65.981, 37.689, 37.715, 35.357, 65.762, 50.521, 49.568, 33.703, 42.183","48.873, 30.181, 40.542, 52.295, 61.909, 53.27, 42.684, 44.26, 49.592, 54.562"
10/03/2022 18:28:07,B,"5,7,6,5,6,6,6,6,6,7","1,1,1,1,1,1.2,1,1,1,0.9"
14/03/2022 11:46:06,B,"7.1, 6.9, 5, 5.1, 7, 8, 7.9, 9, 5, 5.8, 8, 8, 9, 8","1.1, 1.1, 1, 1.1, 1.5, 1.4, 1.5, 1.1, 1.3, 1.3, 1.5"
14/03/2022 13:11:28,B,"5.603, 5.99, 5.574, 4.503, 4.27, 4.94, 3.595, 5.859, 5.468, 4.261, 5.61","0.765, 0.838, 0.738, 1.134, 1.530, 1.656, 0.735, 0.402, 0.578, 0.544, 0.520"
14/03/2022 15:30:03,A,"72.6, 80.0, 64.9, 72.5, 71.3, 77.6, 48.1, 78.6, 70.5, 94.6","11.4, 9.00, 12.4, 13.0, 9.8, 12.3, 15.2, 12.4, 10.1, 9.9"
15/03/2022 10:50:47,A,"125.1,93.0,81.9,84.0,119.8,104.4,85.8,89.9,86.4,122.6","6.7,6.9,10.6,10.5,7.7,10.4,6.3,7.7,6.8,7.8"
15/03/2022 12:36:07,A,"76.15, 46.14, 70.79, 76.47, 60.19, 60.55, 65.64, 82.09, 49.73, 61.74","13.79, 12.31, 11.81, 14.80, 12.49, 12.50, 11.28, 12,49, 10.38, 12.89"
15/03/2022 21:45:04,B,"82.6,62.6,61.6,67.1,54.4,95.5,60.4,53.4,72.5,66.1,60.1,49.4",-
15/03/2022 22:35:57,A,68,"13, 12, 11, 12, 12, 13, 15, 15, 11, 13"
15/03/2022 23:12:24,B,"99.639, 102.956, 112.071, 86.209, 74.243, 106.902, 62.000, 55,317, 80.1, 70.257","33.941, 20.125, 28.460, 24.739, 33.541, 15.297, 33.136, 28.302, 26.833, 25.834"
15/03/2022 23:38:30,A,"80.79  67.53  85.64 78.46, 86.64, 71.87,  59.45,  74.56,  74.74,  71.26 ",x
17/03/2022 15:03:44,D,"9, 7 ,5 ,5 ,10 ,5, 7, 8, 6, 5","1, 2, 1, 1.5, 1, 1, 1, 1, 1.5, 2, 1"
18/03/2022 11:31:42,D,"14.502, 14.113, 15.225, 18.614, 13.780, 13.447, 15.614, 18.225, 17.058, 17.781, 18.447, 13.780, 16.447, 13.447, 17.558, 17.781, 14.947, 13.224, 13.002, 11.224, 14.447, 16.780","2.167, 2.723, 2.056, 2.00, 3.056, 1.834, 2.5, 2.334, 3.556, 2.667, 2.834, 2.334, 2.667, 2.889, 2.556, 2.612, 2.223, 2.223, 2.945, 2.5, 2.612"
22/03/2022 09:53:12,C,"88.6,56.4,68.4,54.7,76.6,63.9,79.2,67.2,73.3,64.4","11.6,12.4,11.1,11.2,9.7,11.5,12.3,11.4,11.3,12.8"
22/03/2022 09:58:42,C,"51.339,57.924,62.451,48.864,43.266,42.099,57.051,66.050","12.291,10.945,10.976,14.206,7.529,12.011,14.758,14.483,15.083,13.869"
22/03/2022 22:35:45,C,"66.180,56.457,61.301,65.587,74.526,61.096,53.547,58.835,64.706,61.019","11.022,11.322,10.726,10.195,10.852,12.844,12.202,10.856,10.939"
23/03/2022 12:36:16,C,"87, 70, 70, 84, 79, 39, 85, 48, 64, 71","8, 9, 14, 14, 15, 14, 11, 15, 16, 14"
24/03/2022 12:17:26,C,"62.2,57.2,64.5,72.5,62.4,61.2,73.8,67.0,69.7,58.1","10.3,9.9,9.9,13.3,10.5,10.2,9.5,10.4,11.7,10.3"
24/03/2022 13:19:50,C,"79.9,83.2,52.5,87.4,89.1,69,62.3,76.2,50,69.1","13.5,11,12.1,11.7,11.5,13.7,10.8,9.5,11.2,11.5"
24/03/2022 13:29:16,D,73.51;54.09;70.85;58.93;82.25;74.59;56.05;79.88;75.35;91.39;73.45,9.53;12.07;10.49;11.69;13.48;12.86;16.06;16.14;14.09;13.64;13.99
24/03/2022 18:32:38,C,"53,86","9,92"
25/03/2022 11:45:33,D,"75.81,59.767,49.767,57.9,73.37,41.744,64.3,65,65.23,57.79","12.2,10.35,7.67,10,9.65,9.07,11.05,10.7,9.07,9.19"
25/03/2022 15:20:45,C,"62.95, 67.72, 38.18, 38.40, 53.64, 72.05,  54.77, 45.00, 46.14, 47.72","10.45, 9.32, 8.98, 5.90, 7.5, 8.80, 8.41, 6.82, 7.27, 10.68"
25/03/2022 22:08:41,C,"65.9, 68.2, 67.2, 56.4, 65.1, 58.1, 65.1, 69.2, 64.0, 65.4","11.3, 11.0, 11.1, 10.4, 10.0, 10.4, 11.1, 10.2, 10.5, 10.7"
26/03/2022 15:04:36,D,"94.8, 60.6, 39.1, 68.3, 42.9, 63.1, 52.5, 43.2, 74.1, 96.8","12.4, 11.0, 13.8, 15.9, 10.6, 13.3, 11.4, 15.3, 14.9, 16.1"
26/03/2022 21:09:15,D,"58.947, 49.545, 63.269, 51.528, 51.280, 54.640, 54.414, 54.095, 45.059, 46.286","12.0675, 10.0570, 12.4632, 10.9270, 9.7129, 11.2874, 12.9477, 11.9827, 12.6492, 9.8143"
27/03/2022 15:33:07,D,"90, 84, 83, 71, 99, 65, 75, 75, 93, 69, 73, 59, 61, 57, 67, 53","13, 13, 11, 14, 15, 13, 12, 11, 10, 12, 13, 13, 13, 15, 14, 14"
27/03/2022 20:46:09,D,"63,18  52,35 57,29 70,71 44,00 51,29 37,29 58,71 62,35 72,00 51,29 47,41 69,06 60,94 71,29 60,35 63,06","13,06 15,06 12,59 11,06 12,47 12,59 14,12 11,18 13,18 12,00 11,41 11,65 15,76 15,41 14,82 13,65 13,76"
27/03/2022 23:53:28,C,"88, 92, 104, 84, 87, 99, 91, 101, 97, 81","11, 14, 8, 9, 7, 12, 14, 9, 10, 10"
27/03/2022 23:57:13,C,"88, 92, 104, 84, 87, 99, 91, 107, 97, 81","11, 14, 8, 9, 7, 12, 14, 9, 10, 10 "
