"X","Sample","Slice","CFP","YFP","Ratio","Time"
76,"Cell-04",19,0.426978818283166,1.41645527951513,3.31739004105764,38
77,"Cell-01",20,0.628149143432986,1.26510623926227,2.01402207180951,40
78,"Cell-02",20,0.489995618519059,1.33891585554906,2.73250577136943,40
79,"Cell-03",20,0.482824427480916,1.40150958746229,2.90273131948711,40
80,"Cell-04",20,0.486064659977703,1.34761729566447,2.77250622525465,40
81,"Cell-01",21,0.621430970775949,1.30702926535587,2.10325736376455,42
82,"Cell-02",21,0.529428946984081,1.316234211797,2.48613948915146,42
83,"Cell-03",21,0.551526717557252,1.32393984248766,2.40049992201914,42
84,"Cell-04",21,0.539576365663322,1.29155935944852,2.39365443269695,42
85,"Cell-01",22,0.555928787369835,1.37876095798887,2.48010354799569,44
86,"Cell-02",22,0.525777712866949,1.33675569900125,2.54243507529487,44
87,"Cell-03",22,0.610687022900763,1.31523937582626,2.1537044779155,44
88,"Cell-04",22,0.594202898550725,1.26357880061189,2.12651066444441,44
89,"Cell-01",23,0.49630500503863,1.41958267866845,2.86030296744228,46
90,"Cell-02",23,0.498028333576749,1.37214414597576,2.75515277639179,46
91,"Cell-03",23,0.601145038167939,1.35529542039073,2.25452317550712,46
92,"Cell-04",23,0.597547380156076,1.28918730515268,2.1574645759738,46
93,"Cell-01",24,0.492106147127981,1.395427379921,2.8356227372183,48
94,"Cell-02",24,0.471739447933401,1.38675696968157,2.93966717381105,48
95,"Cell-03",24,0.559160305343511,1.39619891300663,2.49695641780026,48
96,"Cell-04",24,0.578595317725752,1.31953991828515,2.28059211310555,48
97,"Cell-01",25,0.535774269398724,1.35196252624778,2.52338084052642,50
98,"Cell-02",25,0.468818460639696,1.40238633764518,2.99132063983069,50
99,"Cell-03",25,0.524809160305344,1.41828905888069,2.70248533401266,50
100,"Cell-04",25,0.555183946488294,1.3401138586062,2.41381954050153,50
101,"Cell-01",26,0.603795767551226,1.29322623750018,2.14182726511157,52
102,"Cell-02",26,0.476851175697386,1.38815471803604,2.91108586658277,52
103,"Cell-03",26,0.522900763358779,1.41032304719721,2.69711414865451,52
104,"Cell-04",26,0.535674470457079,1.36175280289681,2.54212750093328,52
105,"Cell-01",27,0.665938864628821,1.29961380890148,1.95155122779305,54
106,"Cell-02",27,0.508251789104717,1.37449490457191,2.70435822172525,54
107,"Cell-03",27,0.559796437659033,1.38450412989684,2.47322783204299,54
108,"Cell-04",27,0.542920847268673,1.3645121313634,2.51328004483156,54
109,"Cell-01",28,0.620591199193819,1.37318101055785,2.21269816965127,56
110,"Cell-02",28,0.539652402512049,1.35765839030217,2.51580162338266,56
111,"Cell-03",28,0.583969465648855,1.35817674376561,2.32576671154633,56
112,"Cell-04",28,0.55406911928651,1.33982340297814,2.41815209752795,56
113,"Cell-01",29,0.542492442055761,1.41818769181069,2.61420728081761,58
114,"Cell-02",29,0.527238206513802,1.39031487458385,2.63697671641984,58
115,"Cell-03",29,0.596055979643766,1.36083208099344,2.28306086587159,58
116,"Cell-04",29,0.587513935340022,1.32002401099859,2.24679608703175,58
117,"Cell-01",30,0.531575411488075,1.40930382813762,2.65118325204783,60
118,"Cell-02",30,0.51774499780926,1.41763450151211,2.73809405694031,60
119,"Cell-03",30,0.591603053435115,1.36975853380188,2.31533377971672,60
120,"Cell-04",30,0.617056856187291,1.30404895145518,2.11333678311707,60
121,"Cell-01",31,0.554249244205576,1.36510477085505,2.46297994111242,62
122,"Cell-02",31,0.489265371695633,1.41623675315764,2.89461882055832,62
123,"Cell-03",31,0.570610687022901,1.39422153421995,2.44338489609115,62
124,"Cell-04",31,0.619286510590858,1.32099219642546,2.13308730907945,62
125,"Cell-01",32,0.617232112865301,1.29550226868915,2.09888993408849,64
126,"Cell-02",32,0.506791295457865,1.39120435080942,2.74512282132338,64
