"Time","Cell","Activity","amplitude","rank"
1.5,"Cell.16",1.007902,49.7225102,0.580645161290323
1.5,"Cell.17",1.020065,49.5812456,0.516129032258065
1.5,"Cell.18",1.014745,49.9310024,0.709677419354839
1.5,"Cell.19",0.9889287,47.4779692,0.193548387096774
1.5,"Cell.20",0.989237,47.4997003,0.225806451612903
1.5,"Cell.21",1.001743,47.8125827,0.258064516129032
1.5,"Cell.22",1.006925,49.0180877,0.354838709677419
1.5,"Cell.23",1.008453,48.0714543,0.290322580645161
1.5,"Cell.24",0.9994996,48.5968825,0.32258064516129
1.5,"Cell.25",0.9925792,46.9078372,0.0967741935483871
1.5,"Cell.26",1.002831,49.7401503,0.612903225806452
1.5,"Cell.27",0.9939898,46.9168102,0.129032258064516
1.5,"Cell.28",1.011562,49.1636775,0.451612903225806
1.5,"Cell.29",1.034427,44.3182663,0
1.5,"Cell.30",1.001424,46.8093946,0.0645161290322581
1.5,"Cell.31",1.016979,45.612368,0.032258064516129
1.5,"Cell.32",1.021798,47.128056,0.161290322580645
1.666667,"Cell.1",1.010524,50.315458,0.741935483870968
1.666667,"Cell.2",1.012807,49.0784891,0.387096774193548
1.666667,"Cell.3",1.010254,49.1608432,0.419354838709677
1.666667,"Cell.4",1.021865,54.72428,1
1.666667,"Cell.5",1.01232,53.9923307,0.967741935483871
1.666667,"Cell.6",1.011446,51.4303486,0.870967741935484
1.666667,"Cell.7",1.012371,52.5428662,0.935483870967742
1.666667,"Cell.8",0.9925242,51.187307,0.838709677419355
1.666667,"Cell.9",1.00623,49.881537,0.67741935483871
1.666667,"Cell.10",0.9868611,50.8529285,0.806451612903226
1.666667,"Cell.11",0.9739231,49.7917974,0.645161290322581
1.666667,"Cell.12",0.9846559,50.3284978,0.774193548387097
1.666667,"Cell.13",0.9751803,49.6419659,0.548387096774194
1.666667,"Cell.14",0.9929111,49.4013006,0.483870967741935
1.666667,"Cell.15",1.014078,51.9740685,0.903225806451613
1.666667,"Cell.16",1.006918,49.7225102,0.580645161290323
1.666667,"Cell.17",1.001278,49.5812456,0.516129032258065
1.666667,"Cell.18",0.9962112,49.9310024,0.709677419354839
1.666667,"Cell.19",1.016335,47.4779692,0.193548387096774
1.666667,"Cell.20",1.01764,47.4997003,0.225806451612903
1.666667,"Cell.21",0.9949033,47.8125827,0.258064516129032
1.666667,"Cell.22",1.001791,49.0180877,0.354838709677419
1.666667,"Cell.23",0.998216,48.0714543,0.290322580645161
1.666667,"Cell.24",1.007701,48.5968825,0.32258064516129
1.666667,"Cell.25",1.002337,46.9078372,0.0967741935483871
1.666667,"Cell.26",1.003422,49.7401503,0.612903225806452
1.666667,"Cell.27",1.003214,46.9168102,0.129032258064516
1.666667,"Cell.28",1.015102,49.1636775,0.451612903225806
1.666667,"Cell.29",1.023911,44.3182663,0
1.666667,"Cell.30",0.9936152,46.8093946,0.0645161290322581
1.666667,"Cell.31",1.008522,45.612368,0.032258064516129
1.666667,"Cell.32",1.012658,47.128056,0.161290322580645
1.833333,"Cell.1",1.001704,50.315458,0.741935483870968
1.833333,"Cell.2",0.9949892,49.0784891,0.387096774193548
1.833333,"Cell.3",0.9949538,49.1608432,0.419354838709677
1.833333,"Cell.4",1.014479,54.72428,1
1.833333,"Cell.5",1.006677,53.9923307,0.967741935483871
1.833333,"Cell.6",1.006172,51.4303486,0.870967741935484
1.833333,"Cell.7",1.005237,52.5428662,0.935483870967742
1.833333,"Cell.8",1.003928,51.187307,0.838709677419355
1.833333,"Cell.9",1.011472,49.881537,0.67741935483871
1.833333,"Cell.10",1.016562,50.8529285,0.806451612903226
1.833333,"Cell.11",1.045502,49.7917974,0.645161290322581
1.833333,"Cell.12",1.012212,50.3284978,0.774193548387097
1.833333,"Cell.13",1.006073,49.6419659,0.548387096774194
1.833333,"Cell.14",1.020814,49.4013006,0.483870967741935
1.833333,"Cell.15",1.016233,51.9740685,0.903225806451613
1.833333,"Cell.16",1.00884,49.7225102,0.580645161290323
1.833333,"Cell.17",1.011863,49.5812456,0.516129032258065
1.833333,"Cell.18",0.9955599,49.9310024,0.709677419354839
1.833333,"Cell.19",0.9969912,47.4779692,0.193548387096774
1.833333,"Cell.20",0.9978697,47.4997003,0.225806451612903
1.833333,"Cell.21",1.001751,47.8125827,0.258064516129032
1.833333,"Cell.22",1.011226,49.0180877,0.354838709677419
1.833333,"Cell.23",0.9954764,48.0714543,0.290322580645161
1.833333,"Cell.24",1.004373,48.5968825,0.32258064516129
1.833333,"Cell.25",0.9976225,46.9078372,0.0967741935483871
1.833333,"Cell.26",0.9972941,49.7401503,0.612903225806452
1.833333,"Cell.27",1.003562,46.9168102,0.129032258064516
