"System","Order","YFP","CFP"
" Dual-promotor","CFP first",254.59,543.56
" Dual-promotor","CFP first",255.31,110.16
" Dual-promotor","CFP first",257.85,672.51
" Dual-promotor","CFP first",258.65,281.6
" Dual-promotor","CFP first",258.89,300.21
" Dual-promotor","CFP first",259.52,348.77
" Dual-promotor","CFP first",259.73,626.53
" Dual-promotor","CFP first",261.62,1478.4
" Dual-promotor","CFP first",263.59,115.76
" Dual-promotor","CFP first",266.15,410.17
" Dual-promotor","CFP first",266.94,103.89
" Dual-promotor","CFP first",268.55,363.85
" Dual-promotor","CFP first",269.3,324.76
" Dual-promotor","CFP first",270.34,440.9
" Dual-promotor","CFP first",275.32,485.7
" Dual-promotor","CFP first",281.64,184.72
" Dual-promotor","CFP first",282.75,641.19
" Dual-promotor","CFP first",287.5,293.7
" Dual-promotor","CFP first",288.41,159.83
" Dual-promotor","CFP first",289.06,270.9
" Dual-promotor","CFP first",289.62,168.45
" Dual-promotor","CFP first",301.83,364.3
" Dual-promotor","CFP first",305.62,269.13
" Dual-promotor","CFP first",305.71,167.79
" Dual-promotor","CFP first",310.12,364.13
" Dual-promotor","CFP first",311.62,380.13
" Dual-promotor","CFP first",317.04,405.18
" Dual-promotor","CFP first",317.25,1242
" Dual-promotor","CFP first",333.62,339.19
" Dual-promotor","CFP first",339.06,306.41
" Dual-promotor","CFP first",341.41,303.29
" Dual-promotor","CFP first",341.88,349.4
" Dual-promotor","CFP first",342.12,254.4
" Dual-promotor","CFP first",347.23,386.74
" Dual-promotor","CFP first",355.02,818.92
" Dual-promotor","CFP first",355.59,351.05
" Dual-promotor","CFP first",355.96,330.87
" Dual-promotor","CFP first",356.36,843.51
" Dual-promotor","CFP first",357.85,325.97
" Dual-promotor","CFP first",360.59,351.05
" Dual-promotor","CFP first",362.51,310.76
" Dual-promotor","CFP first",363.07,440.38
" Dual-promotor","CFP first",363.46,527.84
" Dual-promotor","CFP first",367.15,202.13
" Dual-promotor","CFP first",375.31,289.89
" Dual-promotor","CFP first",375.92,230.09
" Dual-promotor","CFP first",379,360.23
" Dual-promotor","CFP first",379.7,932.01
" Dual-promotor","CFP first",384.76,864.35
" Dual-promotor","CFP first",385.31,215.79
" Dual-promotor","CFP first",385.91,336.97
" Dual-promotor","CFP first",387.04,228.87
" Dual-promotor","CFP first",389.16,377.75
" Dual-promotor","CFP first",389.95,657.29
" Dual-promotor","CFP first",395.75,333.37
" Dual-promotor","CFP first",397.15,393.96
" Dual-promotor","CFP first",397.17,491.88
" Dual-promotor","CFP first",398.13,214.38
" Dual-promotor","CFP first",402.08,432.11
" Dual-promotor","CFP first",402.37,941.35
" Dual-promotor","CFP first",407.39,593.13
" Dual-promotor","CFP first",408.42,334.94
" Dual-promotor","CFP first",409.54,331.85
" Dual-promotor","CFP first",411.15,395.17
" Dual-promotor","CFP first",412.33,722.64
" Dual-promotor","CFP first",412.36,440.93
" Dual-promotor","CFP first",414.36,844.75
" Dual-promotor","CFP first",415.51,800.89
" Dual-promotor","CFP first",415.73,261.55
" Dual-promotor","CFP first",416.9,221.77
" Dual-promotor","CFP first",417.32,267.78
" Dual-promotor","CFP first",417.9,669.22
" Dual-promotor","CFP first",422.01,447.07
" Dual-promotor","CFP first",423.51,358.71
" Dual-promotor","CFP first",425.98,343.81
" Dual-promotor","CFP first",428.47,284.12
" Dual-promotor","CFP first",436.19,352.81
" Dual-promotor","CFP first",442.6,590.37
" Dual-promotor","CFP first",442.96,1017.5
" Dual-promotor","CFP first",446.61,1559.5
" Dual-promotor","CFP first",447.5,743.36
" Dual-promotor","CFP first",451.57,473.87
" Dual-promotor","CFP first",452.27,289.86
" Dual-promotor","CFP first",455.94,1932.4
" Dual-promotor","CFP first",456.72,346.73
" Dual-promotor","CFP first",458.11,518.2
" Dual-promotor","CFP first",458.41,245.09
" Dual-promotor","CFP first",458.63,638.1
" Dual-promotor","CFP first",468.03,1031.5
" Dual-promotor","CFP first",469.29,485.57
" Dual-promotor","CFP first",472.66,584.89
" Dual-promotor","CFP first",475.04,585.35
" Dual-promotor","CFP first",477.53,403.65
" Dual-promotor","CFP first",480.12,676.65
" Dual-promotor","CFP first",481.68,432.46
" Dual-promotor","CFP first",483.97,727.95
" Dual-promotor","CFP first",485.52,530.11
" Dual-promotor","CFP first",488.33,1314.2
" Dual-promotor","CFP first",489.68,778.1
" Dual-promotor","CFP first",491.39,306.77
