 ,Label,Mean,Slice
167,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t42,230.94,42
168,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t42,285.94,42
169,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t43,195.42,43
170,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t43,227.09,43
171,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t43,218.72,43
172,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t43,286.00,43
173,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t44,192.12,44
174,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t44,220.53,44
175,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t44,220.16,44
176,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t44,278.93,44
177,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t45,179.26,45
178,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t45,208.53,45
179,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t45,237.76,45
180,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t45,273.73,45
181,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t46,165.25,46
182,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t46,203.65,46
183,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t46,253.71,46
184,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t46,274.21,46
185,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t47,167.43,47
186,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t47,212.54,47
187,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t47,256.20,47
188,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t47,276.68,47
189,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t48,181.20,48
190,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t48,223.82,48
191,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t48,248.46,48
192,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t48,279.61,48
193,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t49,194.21,49
194,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t49,225.93,49
195,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t49,228.32,49
196,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t49,279.85,49
197,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t50,194.91,50
198,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t50,221.61,50
199,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t50,207.99,50
200,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t50,277.96,50
201,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t51,187.19,51
202,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t51,210.36,51
203,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t51,208.44,51
204,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t51,279.07,51
205,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t52,170.24,52
206,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t52,198.76,52
