ID,Material,Requesting Country,Date Ordered
36204,pmTurquoise2-ER,CHINA,09/29/2014
36205,pmTurquoise2-Golgi,CHINA,09/29/2014
36206,pmTurquoise2-NES,CHINA,09/29/2014
36207,pmTurquoise2-H2A,CHINA,09/29/2014
36208,pmTurquoise2-Mito,CHINA,09/29/2014
36209,pPalmitoyl-mTurquoise2,CHINA,09/29/2014
22880,pSBFP2-C1,JAPAN,09/26/2014
22881,pSGFP2-C1,JAPAN,09/26/2014
36208,pmTurquoise2-Mito,UNITED KINGDOM,09/26/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,09/24/2014
36205,pmTurquoise2-Golgi,UNITED STATES,09/22/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,09/22/2014
36206,pmTurquoise2-NES,UNITED STATES,09/22/2014
36205,pmTurquoise2-Golgi,SWEDEN,09/16/2014
36204,pmTurquoise2-ER,UNITED STATES,09/15/2014
22880,pSBFP2-C1,UNITED STATES,09/15/2014
36205,pmTurquoise2-Golgi,JAPAN,09/12/2014
36208,pmTurquoise2-Mito,CANADA,09/10/2014
22880,pSBFP2-C1,NORWAY,09/10/2014
36204,pmTurquoise2-ER,UNITED STATES,09/09/2014
36204,pmTurquoise2-ER,GERMANY,09/09/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,09/05/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,09/05/2014
36206,pmTurquoise2-NES,UNITED STATES,09/05/2014
36208,pmTurquoise2-Mito,UNITED STATES,09/04/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/29/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/29/2014
36204,pmTurquoise2-ER,UNITED STATES,08/29/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/29/2014
36208,pmTurquoise2-Mito,UNITED STATES,08/29/2014
36207,pmTurquoise2-H2A,UNITED STATES,08/28/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/28/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,08/28/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,08/28/2014
36204,pmTurquoise2-ER,UNITED STATES,08/28/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/28/2014
36208,pmTurquoise2-Mito,UNITED STATES,08/28/2014
36206,pmTurquoise2-NES,JAPAN,08/28/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,08/28/2014
36202,pmTurquoise2-Tubulin,SWEDEN,08/26/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/25/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,08/25/2014
36204,pmTurquoise2-ER,UNITED STATES,08/25/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/25/2014
36208,pmTurquoise2-Mito,UNITED STATES,08/25/2014
36205,pmTurquoise2-Golgi,GERMANY,08/25/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/24/2014
36204,pmTurquoise2-ER,UNITED STATES,08/24/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/24/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,08/24/2014
22880,pSBFP2-C1,UNITED STATES,08/22/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/22/2014
36208,pmTurquoise2-Mito,JAPAN,08/22/2014
36204,pmTurquoise2-ER,UNITED STATES,08/19/2014
36209,pPalmitoyl-mTurquoise2,ARGENTINA,08/15/2014
36203,pmTurquoise2-Peroxi,SINGAPORE,08/13/2014
22880,pSBFP2-C1,ISRAEL,08/13/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/08/2014
36205,pmTurquoise2-Golgi,GERMANY,08/06/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/05/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,08/05/2014
36204,pmTurquoise2-ER,UNITED STATES,08/05/2014
36205,pmTurquoise2-Golgi,UNITED STATES,08/05/2014
36206,pmTurquoise2-NES,UNITED STATES,08/05/2014
36207,pmTurquoise2-H2A,UNITED STATES,08/05/2014
36208,pmTurquoise2-Mito,UNITED STATES,08/05/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,08/05/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,08/04/2014
36208,pmTurquoise2-Mito,UNITED STATES,08/04/2014
36201,pLifeAct-mTurquoise2,CHINA,08/03/2014
36202,pmTurquoise2-Tubulin,CHINA,08/03/2014
36203,pmTurquoise2-Peroxi,CHINA,08/03/2014
36204,pmTurquoise2-ER,CHINA,08/03/2014
36205,pmTurquoise2-Golgi,CHINA,08/03/2014
36208,pmTurquoise2-Mito,CHINA,08/03/2014
36209,pPalmitoyl-mTurquoise2,CHINA,08/03/2014
36208,pmTurquoise2-Mito,SWEDEN,08/01/2014
36207,pmTurquoise2-H2A,GERMANY,08/01/2014
36209,pPalmitoyl-mTurquoise2,GERMANY,08/01/2014
36203,pmTurquoise2-Peroxi,CHINA,08/01/2014
36205,pmTurquoise2-Golgi,CHINA,08/01/2014
36208,pmTurquoise2-Mito,CHINA,08/01/2014
36209,pPalmitoyl-mTurquoise2,AUSTRALIA,08/01/2014
36206,pmTurquoise2-NES,UNITED STATES,07/31/2014
36201,pLifeAct-mTurquoise2,BELGIUM,07/31/2014
36203,pmTurquoise2-Peroxi,ITALY,07/30/2014
36204,pmTurquoise2-ER,ITALY,07/30/2014
36208,pmTurquoise2-Mito,ITALY,07/30/2014
36209,pPalmitoyl-mTurquoise2,ITALY,07/30/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,07/24/2014
36203,pmTurquoise2-Peroxi,UNITED KINGDOM,07/24/2014
36204,pmTurquoise2-ER,UNITED KINGDOM,07/24/2014
36205,pmTurquoise2-Golgi,UNITED KINGDOM,07/24/2014
36206,pmTurquoise2-NES,UNITED KINGDOM,07/24/2014
36208,pmTurquoise2-Mito,UNITED KINGDOM,07/24/2014
36209,pPalmitoyl-mTurquoise2,UNITED KINGDOM,07/24/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,07/23/2014
36206,pmTurquoise2-NES,ICELAND,07/23/2014
36209,pPalmitoyl-mTurquoise2,ICELAND,07/23/2014
36202,pmTurquoise2-Tubulin,TAIWAN,07/17/2014
36209,pPalmitoyl-mTurquoise2,PORTUGAL,07/17/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,07/17/2014
36205,pmTurquoise2-Golgi,TAIWAN,07/17/2014
36207,pmTurquoise2-H2A,INDIA,07/17/2014
36208,pmTurquoise2-Mito,INDIA,07/17/2014
36204,pmTurquoise2-ER,JAPAN,07/17/2014
36205,pmTurquoise2-Golgi,JAPAN,07/17/2014
36201,pLifeAct-mTurquoise2,JAPAN,07/16/2014
36203,pmTurquoise2-Peroxi,JAPAN,07/16/2014
36204,pmTurquoise2-ER,JAPAN,07/16/2014
36205,pmTurquoise2-Golgi,JAPAN,07/16/2014
36208,pmTurquoise2-Mito,JAPAN,07/16/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,07/16/2014
36207,pmTurquoise2-H2A,ITALY,07/16/2014
36208,pmTurquoise2-Mito,UNITED STATES,07/15/2014
36207,pmTurquoise2-H2A,UNITED STATES,07/15/2014
36208,pmTurquoise2-Mito,JAPAN,07/14/2014
36209,pPalmitoyl-mTurquoise2,JAPAN,07/14/2014
36204,pmTurquoise2-ER,SWITZERLAND,07/14/2014
36201,pLifeAct-mTurquoise2,FRANCE,07/11/2014
36202,pmTurquoise2-Tubulin,FRANCE,07/11/2014
36201,pLifeAct-mTurquoise2,CHINA,07/10/2014
36202,pmTurquoise2-Tubulin,CHINA,07/10/2014
36203,pmTurquoise2-Peroxi,CHINA,07/10/2014
36204,pmTurquoise2-ER,CHINA,07/10/2014
36205,pmTurquoise2-Golgi,CHINA,07/10/2014
36206,pmTurquoise2-NES,CHINA,07/10/2014
36207,pmTurquoise2-H2A,CHINA,07/10/2014
36208,pmTurquoise2-Mito,CHINA,07/10/2014
36209,pPalmitoyl-mTurquoise2,CHINA,07/10/2014
36206,pmTurquoise2-NES,RUSSIAN FEDERATION,07/10/2014
36209,pPalmitoyl-mTurquoise2,UNITED KINGDOM,07/09/2014
22880,pSBFP2-C1,UNITED STATES,07/09/2014
36209,pPalmitoyl-mTurquoise2,GERMANY,07/08/2014
36201,pLifeAct-mTurquoise2,GERMANY,07/07/2014
22881,pSGFP2-C1,GERMANY,07/07/2014
36204,pmTurquoise2-ER,ITALY,07/03/2014
36208,pmTurquoise2-Mito,ITALY,07/03/2014
36206,pmTurquoise2-NES,HONG KONG,07/02/2014
36204,pmTurquoise2-ER,UNITED STATES,07/02/2014
36205,pmTurquoise2-Golgi,UNITED STATES,07/02/2014
36209,pPalmitoyl-mTurquoise2,UNITED STATES,07/02/2014
36208,pmTurquoise2-Mito,SLOVAKIA,07/02/2014
36204,pmTurquoise2-ER,JAPAN,07/01/2014
36201,pLifeAct-mTurquoise2,FRANCE,06/27/2014
36201,pLifeAct-mTurquoise2,JAPAN,06/26/2014
36202,pmTurquoise2-Tubulin,JAPAN,06/26/2014
36207,pmTurquoise2-H2A,JAPAN,06/26/2014
36208,pmTurquoise2-Mito,JAPAN,06/26/2014
36204,pmTurquoise2-ER,SPAIN,06/26/2014
36205,pmTurquoise2-Golgi,SPAIN,06/26/2014
22880,pSBFP2-C1,CHILE,06/24/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/24/2014
36201,pLifeAct-mTurquoise2,UNITED KINGDOM,06/24/2014
36208,pmTurquoise2-Mito,SINGAPORE,06/23/2014
36205,pmTurquoise2-Golgi,UNITED STATES,06/23/2014
36205,pmTurquoise2-Golgi,JAPAN,06/23/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/20/2014
36207,pmTurquoise2-H2A,JAPAN,06/20/2014
36207,pmTurquoise2-H2A,CHINA,06/17/2014
36201,pLifeAct-mTurquoise2,CANADA,06/16/2014
36204,pmTurquoise2-ER,UNITED STATES,06/16/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/13/2014
36205,pmTurquoise2-Golgi,UNITED STATES,06/13/2014
36203,pmTurquoise2-Peroxi,UNITED KINGDOM,06/13/2014
36204,pmTurquoise2-ER,UNITED KINGDOM,06/13/2014
36205,pmTurquoise2-Golgi,UNITED KINGDOM,06/13/2014
36207,pmTurquoise2-H2A,UNITED KINGDOM,06/13/2014
36208,pmTurquoise2-Mito,UNITED KINGDOM,06/13/2014
36208,pmTurquoise2-Mito,AUSTRALIA,06/13/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/12/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,06/11/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/11/2014
36207,pmTurquoise2-H2A,UNITED STATES,06/11/2014
36201,pLifeAct-mTurquoise2,MEXICO,06/11/2014
36205,pmTurquoise2-Golgi,MEXICO,06/11/2014
36209,pPalmitoyl-mTurquoise2,MEXICO,06/11/2014
36202,pmTurquoise2-Tubulin,CANADA,06/11/2014
36206,pmTurquoise2-NES,UNITED STATES,06/11/2014
36205,pmTurquoise2-Golgi,SWITZERLAND,06/11/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,06/10/2014
36201,pLifeAct-mTurquoise2,UNITED STATES,06/09/2014
36202,pmTurquoise2-Tubulin,UNITED STATES,06/09/2014
36203,pmTurquoise2-Peroxi,UNITED STATES,06/09/2014
36204,pmTurquoise2-ER,UNITED STATES,06/09/2014
