BCY_YFP,BCY_CFP,BYC_YFP,BYC_CFP,TCY_YFP,TCY_CFP,TYC_YFP,TYC_CFP,IYC_YFP,IYC_CFP,ICY_YFP,ICY_CFP
508.08,504.17,508.08,504.17,525.49,708.46,510.24,603.1,1215.8,431.4,697.41,2710.4
508.92,876.24,508.92,876.24,529.7,675.69,510.91,510.61,1216.1,512.59,514.97,2711.2
510.66,878.6,510.66,878.6,529.79,613.52,511.33,526.76,1217.1,504.18,824.3,2716.6
512.25,963.05,512.25,963.05,532.52,521.74,511.98,640.02,1217.5,293.1,564.58,2734.2
513.02,951.22,513.02,951.22,537.08,531.88,514.42,612.63,1218.2,542.86,716.16,2744.1
520.22,385.18,520.22,385.18,541.9,715.38,514.52,570.6,1218.3,592.72,346.47,2772.3
523.58,382.49,523.58,382.49,544.6,563.55,516.34,569.86,1218.5,528.38,581.46,2781.3
524.19,935.92,524.19,935.92,547.12,587.82,516.38,632.65,1218.7,414.65,564.77,2786.3
526.78,963.84,526.78,963.84,550.95,747.61,518.2,449.68,1219.1,614.52,586.82,2828.2
531.36,965.03,531.36,965.03,553.92,731.69,518.64,581.76,1221.1,487.95,625.48,2829.4
534.12,463.69,534.12,463.69,554.32,882,519.65,617.69,1223.1,509.73,628.62,2829.8
535.02,920.72,535.02,920.72,555.23,790.49,520.54,552.69,1232.2,477.18,606.37,2838.6
535.39,908.51,535.39,908.51,557.07,663.93,521.18,633.75,1235.3,673.12,729.07,2839.1
541.2,788.77,541.2,788.77,558.8,669.18,521.62,357.7,1235.8,502.95,617.79,2840.4
541.99,808.33,541.99,808.33,560.34,742.32,522.02,668.87,1239.1,530.21,650.87,2864.8
544.5,997.26,544.5,997.26,561.28,559.99,523.52,515.32,1239.4,564.64,694.41,2885.1
545.05,715.49,545.05,715.49,563.44,565.3,523.7,652.46,1253.1,362.67,516.68,2902.5
546.99,788.35,546.99,788.35,564.59,597.76,524.2,570.68,1253.2,575.57,509.94,2917.1
547.15,715.56,547.15,715.56,571.31,757.08,524.83,686.86,1257,440.99,618.71,2932.9
550.33,1021.5,550.33,1021.5,571.95,605.35,526.04,616.04,1259.3,798.3,775.2,2933.2
551.71,602.64,551.71,602.64,572.56,697.11,526.36,684.59,1261.6,524.58,665.66,2949.7
553.98,553.45,553.98,553.45,572.8,562.05,526.74,599.82,1269.1,580.65,901.88,2958.8
556.64,1394.3,556.64,1394.3,573.08,736.15,529.02,623.41,1273.3,479.16,704.41,2961.1
558.47,1002.4,558.47,1002.4,574.75,792.19,531.41,686.41,1274.7,532.65,530.72,2963
562.95,746.08,562.95,746.08,580.35,835.1,531.67,700.31,1282.9,445.47,732.67,2968.3
568.37,653.83,568.37,653.83,582.04,555.2,532.98,628.85,1289.1,502.68,600.48,2995.3
570.14,1058.7,570.14,1058.7,590.2,602.85,534.29,590.33,1291.4,367,428.22,3003.9
573.08,658.71,573.08,658.71,594.2,850.16,534.46,606.65,1291.7,632.14,626.35,3004.3
574.7,1047.2,574.7,1047.2,595.42,790.27,534.77,629.68,1293.5,598.3,779.75,3010.4
574.77,1011,574.77,1011,595.79,826.02,534.89,614.56,1294.5,619.13,581.6,3012.2
577.51,529.85,577.51,529.85,596.49,680.12,537.45,604.97,1300,574.19,774.04,3027.7
577.97,1086.2,577.97,1086.2,598.94,847.17,539.06,689.27,1302.2,503.29,742.78,3054.1
580.24,448.1,580.24,448.1,603.77,619.8,539.76,616.78,1313.3,501.78,861.56,3059.6
580.47,502.31,580.47,502.31,603.98,555.94,541.04,729.35,1317,494.13,719.21,3070.5
590.53,767.77,590.53,767.77,608.68,673.27,542.81,636.27,1318.1,335.47,762.08,3078.7
597.65,953.16,597.65,953.16,609.29,520.21,542.82,696.7,1318.9,508.77,758.2,3079.4
599.75,649.52,599.75,649.52,611.94,921.84,544.08,681.38,1324,528.17,814.08,3101.6
600.39,444.45,600.39,444.45,613.24,645.89,544.42,624.65,1334.9,485.05,767.55,3106.4
600.91,1334.7,600.91,1334.7,614.99,872.08,545.93,564.26,1340.4,576.89,592.92,3106.5
601.07,815,601.07,815,617.4,655.36,546.82,607.93,1343.5,582.96,662.95,3115.4
606.4,520.59,606.4,520.59,617.93,776.36,549.12,627.21,1350.9,478.97,618.56,3116.9
607.51,227.61,607.51,227.61,618.44,722.44,549.73,645.38,1355.6,587.12,648.12,3118.2
607.93,906.57,607.93,906.57,619.17,798.58,550.68,716.3,1365.1,595.54,534.36,3125.2
617.5,854.06,617.5,854.06,619.28,553.7,550.85,622.14,1365.4,519.04,706.42,3131.7
620.02,1021.8,620.02,1021.8,619.57,658.57,551.1,674.72,1371.3,583.66,618.47,3132.1
620.27,1439.8,620.27,1439.8,619.64,741,553.18,622.22,1371.8,501.67,574.45,3136.9
