"LMC","construct","glass","state","cell","GFP","RFP","norm_ratio","day"
4457,"G-Ca-FLITS","g2","post",54,2745.762966,4729.840347,0.265256981,1
4457,"G-Ca-FLITS","g2","pre",1,2607.783529,3782.524994,0.333860091,1
4457,"G-Ca-FLITS","g2","pre",2,2831.023393,3100.366959,0.44509613,1
4457,"G-Ca-FLITS","g2","pre",3,1434.871628,1557.67665,0.449092223,1
4457,"G-Ca-FLITS","g2","pre",5,1510.279281,1373.891179,0.537659975,1
4457,"G-Ca-FLITS","g2","pre",6,1568.503281,1714.918936,0.445840605,1
4457,"G-Ca-FLITS","g2","pre",10,1608.186313,2308.876359,0.337387717,1
4457,"G-Ca-FLITS","g2","pre",12,1339.764904,1476.637689,0.442203317,1
4457,"G-Ca-FLITS","g2","pre",13,4265.8389,4282.110926,0.486406238,1
4457,"G-Ca-FLITS","g2","pre",14,2301.217168,2838.92842,0.394110779,1
4457,"G-Ca-FLITS","g2","pre",15,2124.373033,2270.658517,0.456259955,1
4457,"G-Ca-FLITS","g2","pre",17,1257.505523,1431.56722,0.427834356,1
4457,"G-Ca-FLITS","g2","pre",18,1577.508949,1546.201682,0.49836438,1
4457,"G-Ca-FLITS","g2","pre",19,7019.423407,7263.776709,0.471567879,1
4457,"G-Ca-FLITS","g2","pre",20,1305.99569,1413.086405,0.450610675,1
4457,"G-Ca-FLITS","g2","pre",21,2488.159705,2660.71835,0.456046181,1
4457,"G-Ca-FLITS","g2","pre",22,2061.231647,2118.114556,0.474941587,1
4457,"G-Ca-FLITS","g2","pre",23,1685.381675,1766.25336,0.46552753,1
4457,"G-Ca-FLITS","g2","pre",24,2345.119738,2774.532308,0.411334556,1
4457,"G-Ca-FLITS","g2","pre",25,1995.600527,2287.943752,0.424757623,1
4457,"G-Ca-FLITS","g2","pre",26,1873.782178,2081.018567,0.43877621,1
4457,"G-Ca-FLITS","g2","pre",27,893.5936391,1354.867077,0.318998902,1
4457,"G-Ca-FLITS","g2","pre",28,7167.580195,7853.359034,0.444873227,1
4457,"G-Ca-FLITS","g2","pre",29,8127.614981,9382.225952,0.421800604,1
4457,"G-Ca-FLITS","g2","pre",30,1888.938212,2175.469627,0.42280108,1
4457,"G-Ca-FLITS","g2","pre",31,1409.282605,1389.739785,0.495288482,1
4457,"G-Ca-FLITS","g2","pre",32,9994.244851,9990.406068,0.488486915,1
4457,"G-Ca-FLITS","g2","pre",33,2369.461311,2646.615146,0.436222261,1
4457,"G-Ca-FLITS","g2","pre",34,2390.063947,2407.374442,0.484720208,1
4457,"G-Ca-FLITS","g2","pre",35,2736.848509,3066.272155,0.434872455,1
4457,"G-Ca-FLITS","g2","pre",37,2804.66805,2912.388273,0.469903573,1
4457,"G-Ca-FLITS","g2","pre",38,11119.79335,12470.44456,0.43443804,1
4457,"G-Ca-FLITS","g2","pre",39,7197.8461,8022.105808,0.43720265,1
4457,"G-Ca-FLITS","g2","pre",40,3378.510714,3459.952995,0.47659096,1
4457,"G-Ca-FLITS","g2","pre",41,1333.799134,1423.018084,0.457118863,1
4457,"G-Ca-FLITS","g2","pre",42,2178.870886,2197.951873,0.483978962,1
4457,"G-Ca-FLITS","g2","pre",43,1980.944322,2214.628274,0.435825319,1
4457,"G-Ca-FLITS","g2","pre",44,3071.636947,3317.030852,0.451508229,1
4457,"G-Ca-FLITS","g2","pre",45,2833.716519,3258.06328,0.423529596,1
4457,"G-Ca-FLITS","g2","pre",46,2431.007745,2409.263877,0.492783708,1
4457,"G-Ca-FLITS","g2","pre",47,6272.783063,7412.122009,0.41185988,1
4457,"G-Ca-FLITS","g2","pre",49,1666.850621,1457.768793,0.559616444,1
4457,"G-Ca-FLITS","g2","pre",50,1907.715655,1862.393582,0.500396965,1
4457,"G-Ca-FLITS","g2","pre",51,1520.552284,1609.032266,0.460951491,1
4457,"G-Ca-FLITS","g2","pre",52,3308.707633,3714.828259,0.433932812,1
4457,"G-Ca-FLITS","g2","pre",53,3241.892708,3591.815598,0.439851209,1
4457,"G-Ca-FLITS","g2","pre",54,2042.509725,2163.320559,0.460526068,1
4457,"G-Ca-FLITS","g2","pre",55,6511.337615,7763.776377,0.408078026,1
4457,"G-Ca-FLITS","g2","pre",56,5352.628946,5674.318678,0.46010482,1
4457,"G-Ca-FLITS","g2","pre",58,2056.544644,2476.33375,0.403999382,1
4457,"G-Ca-FLITS","g2","pre",59,2127.761227,2515.874162,0.411585035,1
4457,"G-Ca-FLITS","g2","pre",60,4214.798119,4900.921764,0.418679377,1
4462,"EGFP","g1","post",1,7875.765136,3767.104351,0.928130695,1
4462,"EGFP","g1","post",2,3938.950949,1889.366873,0.92550805,1
4462,"EGFP","g1","post",3,6267.40565,3169.685312,0.877466527,1
4462,"EGFP","g1","post",4,4122.349638,1947.845144,0.939613799,1
4462,"EGFP","g1","post",5,3646.290967,1496.316374,1.082831249,1
4462,"EGFP","g1","post",6,4649.213042,2030.444017,1.017097857,1
4462,"EGFP","g1","post",7,8576.852439,3935.717843,0.967709534,1
4462,"EGFP","g1","post",8,3876.396176,1831.560797,0.939649559,1
4462,"EGFP","g1","post",9,27765.12553,12221.41484,1.009094298,1
4462,"EGFP","g1","post",10,3183.913021,1339.175432,1.056318822,1
4462,"EGFP","g1","post",11,7065.389156,3326.835126,0.942917507,1
4462,"EGFP","g1","post",12,3667.24058,1649.717082,0.987245755,1
4462,"EGFP","g1","post",13,3215.698712,1598.683694,0.892736813,1
4462,"EGFP","g1","post",14,8563.872979,4272.760315,0.889532074,1
4462,"EGFP","g1","post",15,9134.749804,4133.447676,0.981439747,1
4462,"EGFP","g1","post",16,16474.40368,7517.257894,0.973210538,1
4462,"EGFP","g1","post",17,5321.35014,2039.459419,1.159852206,1
4462,"EGFP","g1","post",18,3683.211181,1852.355462,0.882425783,1
4462,"EGFP","g1","post",19,8953.057779,4669.693608,0.850641438,1
4462,"EGFP","g1","post",20,14153.18256,6863.415185,0.915372797,1
4462,"EGFP","g1","post",21,12379.06327,6313.823938,0.870018172,1
4462,"EGFP","g1","post",22,18825.23712,8200.031912,1.019779062,1
