 ,Label,Mean,Slice
209,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t53,8.86,53
210,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t53,9.27,53
211,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t53,9.78,53
212,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t53,10.61,53
213,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t54,8.80,54
214,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t54,8.21,54
215,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t54,8.06,54
216,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t54,10.85,54
217,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t55,7.73,55
218,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t55,7.15,55
219,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t55,7.85,55
220,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t55,11.07,55
221,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t56,6.36,56
222,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t56,6.90,56
223,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t56,8.46,56
224,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t56,10.92,56
225,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t57,6.10,57
226,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t57,7.27,57
227,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t57,9.95,57
228,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t57,10.73,57
229,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t58,6.59,58
230,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t58,8.34,58
231,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t58,11.34,58
232,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t58,10.56,58
233,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t59,8.10,59
234,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t59,9.29,59
235,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t59,11.82,59
236,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t59,10.83,59
237,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t60,8.91,60
238,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t60,8.68,60
239,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t60,11.10,60
240,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t60,11.10,60
