"Time","id","unique_id","Sample","Value"
154,"1","cell_05","cell_05",0.7465816
156,"1","cell_05","cell_05",0.790469
158,"1","cell_05","cell_05",0.8108928
160,"1","cell_05","cell_05",0.8365729
162,"1","cell_05","cell_05",0.8418541
164,"1","cell_05","cell_05",0.8534384
166,"1","cell_05","cell_05",0.8553572
168,"1","cell_05","cell_05",0.8589618
170,"1","cell_05","cell_05",0.8623171
172,"1","cell_05","cell_05",0.8661237
174,"1","cell_05","cell_05",0.8734931
176,"1","cell_05","cell_05",0.87298
178,"1","cell_05","cell_05",0.8740097
180,"1","cell_05","cell_05",0.8765781
182,"1","cell_05","cell_05",0.8811355
184,"1","cell_05","cell_05",0.8787946
186,"1","cell_05","cell_05",0.8863619
188,"1","cell_05","cell_05",0.8826315
190,"1","cell_05","cell_05",0.8921162
192,"1","cell_05","cell_05",0.8853543
194,"1","cell_05","cell_05",0.8874226
196,"1","cell_05","cell_05",0.8898428
198,"1","cell_05","cell_05",0.8943604
200,"1","cell_05","cell_05",0.8954196
202,"1","cell_05","cell_05",0.8923586
204,"1","cell_05","cell_05",0.8930965
206,"1","cell_05","cell_05",0.8961985
208,"1","cell_05","cell_05",0.8971238
210,"1","cell_05","cell_05",0.9029569
212,"1","cell_05","cell_05",0.8987842
214,"1","cell_05","cell_05",0.8998782
216,"1","cell_05","cell_05",0.9008562
218,"1","cell_05","cell_05",0.9022639
220,"1","cell_05","cell_05",0.9052864
222,"1","cell_05","cell_05",0.9038757
224,"1","cell_05","cell_05",0.9062213
226,"1","cell_05","cell_05",0.9141138
228,"1","cell_05","cell_05",0.9128729
230,"1","cell_05","cell_05",0.9062536
232,"1","cell_05","cell_05",0.9124265
234,"1","cell_05","cell_05",0.9133824
236,"1","cell_05","cell_05",0.9124527
238,"1","cell_05","cell_05",0.91078
240,"1","cell_05","cell_05",0.9099377
0,"1","cell_06","cell_06",0.993361
2,"1","cell_06","cell_06",0.9924765
4,"1","cell_06","cell_06",1.006317
6,"1","cell_06","cell_06",1.008415
8,"1","cell_06","cell_06",0.997609
10,"1","cell_06","cell_06",1.003873
12,"1","cell_06","cell_06",0.99149
14,"1","cell_06","cell_06",0.9966816
16,"1","cell_06","cell_06",1.000608
18,"1","cell_06","cell_06",0.9969385
20,"1","cell_06","cell_06",1.004909
22,"1","cell_06","cell_06",1.001975
24,"1","cell_06","cell_06",1.004805
26,"1","cell_06","cell_06",1.017945
28,"1","cell_06","cell_06",1.000882
30,"1","cell_06","cell_06",0.9978008
32,"1","cell_06","cell_06",1.003389
34,"1","cell_06","cell_06",1.005859
36,"1","cell_06","cell_06",1.018403
38,"1","cell_06","cell_06",1.005267
40,"1","cell_06","cell_06",1.013645
42,"1","cell_06","cell_06",0.9943628
44,"1","cell_06","cell_06",1.006949
46,"1","cell_06","cell_06",0.9892494
48,"1","cell_06","cell_06",1.009421
50,"1","cell_06","cell_06",0.6945156
52,"1","cell_06","cell_06",0.6887361
54,"1","cell_06","cell_06",0.6984159
56,"1","cell_06","cell_06",0.6778964
58,"1","cell_06","cell_06",0.6791005
60,"1","cell_06","cell_06",0.678843
62,"1","cell_06","cell_06",0.6793856
64,"1","cell_06","cell_06",0.6764228
66,"1","cell_06","cell_06",0.6850284
68,"1","cell_06","cell_06",0.6771174
70,"1","cell_06","cell_06",0.6889412
72,"1","cell_06","cell_06",0.6778271
74,"1","cell_06","cell_06",0.6795793
76,"1","cell_06","cell_06",0.6818348
78,"1","cell_06","cell_06",0.6783973
80,"1","cell_06","cell_06",0.6725668
82,"1","cell_06","cell_06",0.6756254
84,"1","cell_06","cell_06",0.6714169
86,"1","cell_06","cell_06",0.6701264
88,"1","cell_06","cell_06",0.6700939
90,"1","cell_06","cell_06",0.6745818
92,"1","cell_06","cell_06",0.6725594
94,"1","cell_06","cell_06",0.6748692
96,"1","cell_06","cell_06",0.6743714
98,"1","cell_06","cell_06",0.6659725
100,"1","cell_06","cell_06",0.6787091
102,"1","cell_06","cell_06",0.6767376
104,"1","cell_06","cell_06",0.6671222
106,"1","cell_06","cell_06",0.6748421
108,"1","cell_06","cell_06",0.6719027
110,"1","cell_06","cell_06",0.6658377
112,"1","cell_06","cell_06",0.6666459
114,"1","cell_06","cell_06",0.6712911
116,"1","cell_06","cell_06",0.6693178
118,"1","cell_06","cell_06",0.6734181
120,"1","cell_06","cell_06",0.6682269
122,"1","cell_06","cell_06",0.6788746
124,"1","cell_06","cell_06",0.6749348
